Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Plain Text,texts/5337.txt,5337.txt,1,1,0,0,0,10,0
SVG,shapes/5338.svg,5338.svg,7,7,0,0,0,618,0
Plain Text,texts/5339.txt,5339.txt,1,1,0,0,0,3,0
SVG,shapes/534.svg,534.svg,6,6,0,0,0,923,0
Plain Text,texts/5340.txt,5340.txt,1,1,0,0,0,8,0
SVG,shapes/5341.svg,5341.svg,7,7,0,0,0,613,0
Plain Text,texts/5342.txt,5342.txt,1,1,0,0,0,5,0
Plain Text,texts/5343.txt,5343.txt,1,1,0,0,0,10,0
SVG,shapes/5344.svg,5344.svg,7,7,0,0,0,613,0
Plain Text,texts/5345.txt,5345.txt,1,1,0,0,0,5,0
SVG,shapes/5346.svg,5346.svg,7,7,0,0,0,636,0
Plain Text,texts/5347.txt,5347.txt,1,1,0,0,0,12,0
Plain Text,texts/5348.txt,5348.txt,1,1,0,0,0,4,0
SVG,shapes/5349.svg,5349.svg,7,7,0,0,0,636,0
SVG,shapes/535.svg,535.svg,6,6,0,0,0,873,0
Plain Text,texts/5350.txt,5350.txt,1,1,0,0,0,22,0
Plain Text,texts/5351.txt,5351.txt,1,1,0,0,0,14,0
Plain Text,texts/5353.txt,5353.txt,1,1,0,0,0,7,0
Plain Text,texts/5354.txt,5354.txt,1,1,0,0,0,7,0
SVG,shapes/5355.svg,5355.svg,8,8,0,0,0,972,0
SVG,shapes/5356.svg,5356.svg,6,6,0,0,0,501,0
Plain Text,texts/5357.txt,5357.txt,1,1,0,0,0,5,0
SVG,shapes/5358.svg,5358.svg,8,8,0,0,0,847,0
SVG,shapes/5359.svg,5359.svg,8,8,0,0,0,972,0
SVG,shapes/536.svg,536.svg,6,6,0,0,0,943,0
SVG,shapes/5360.svg,5360.svg,6,6,0,0,0,521,0
SVG,shapes/5361.svg,5361.svg,8,8,0,0,0,867,0
SVG,shapes/5362.svg,5362.svg,8,8,0,0,0,972,0
SVG,shapes/5363.svg,5363.svg,6,6,0,0,0,504,0
SVG,shapes/5364.svg,5364.svg,8,8,0,0,0,850,0
SVG,shapes/5365.svg,5365.svg,8,8,0,0,0,972,0
SVG,shapes/5366.svg,5366.svg,6,6,0,0,0,547,0
SVG,shapes/5367.svg,5367.svg,8,8,0,0,0,893,0
SVG,shapes/5368.svg,5368.svg,8,8,0,0,0,972,0
SVG,shapes/5369.svg,5369.svg,6,6,0,0,0,606,0
SVG,shapes/537.svg,537.svg,6,6,0,0,0,923,0
SVG,shapes/5370.svg,5370.svg,8,8,0,0,0,950,0
SVG,shapes/5371.svg,5371.svg,8,8,0,0,0,972,0
SVG,shapes/5372.svg,5372.svg,6,6,0,0,0,479,0
SVG,shapes/5373.svg,5373.svg,8,8,0,0,0,825,0
SVG,shapes/5374.svg,5374.svg,8,8,0,0,0,972,0
SVG,shapes/5375.svg,5375.svg,6,6,0,0,0,565,0
SVG,shapes/5376.svg,5376.svg,8,8,0,0,0,911,0
Plain Text,texts/5378.txt,5378.txt,1,1,0,0,0,8,0
Plain Text,texts/5379.txt,5379.txt,1,1,0,0,0,7,0
SVG,shapes/538.svg,538.svg,6,6,0,0,0,936,0
Plain Text,texts/5381.txt,5381.txt,1,1,0,0,0,7,0
Plain Text,texts/5382.txt,5382.txt,1,1,0,0,0,7,0
Plain Text,texts/5383.txt,5383.txt,1,1,0,0,0,7,0
Plain Text,texts/5384.txt,5384.txt,1,1,0,0,0,7,0
Plain Text,texts/5385.txt,5385.txt,1,1,0,0,0,7,0
Plain Text,texts/5386.txt,5386.txt,1,1,0,0,0,5,0
Plain Text,texts/5387.txt,5387.txt,1,1,0,0,0,6,0
