Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Plain Text,texts/5647.txt,5647.txt,1,1,0,0,0,1,0
SVG,shapes/565.svg,565.svg,8,8,0,0,0,1512,0
Plain Text,texts/5650.txt,5650.txt,1,1,0,0,0,26,0
Plain Text,texts/5651.txt,5651.txt,9,9,0,0,0,345,0
Plain Text,texts/5652.txt,5652.txt,1,1,0,0,0,22,0
Plain Text,texts/5653.txt,5653.txt,1,1,0,0,0,6,0
Plain Text,texts/5654.txt,5654.txt,1,1,0,0,0,10,0
SVG,shapes/5655.svg,5655.svg,10,10,0,0,0,1147,0
SVG,shapes/5658.svg,5658.svg,19,19,0,0,0,2761,0
Plain Text,texts/5659.txt,5659.txt,1,1,0,0,0,9,0
SVG,shapes/566.svg,566.svg,8,8,0,0,0,1644,0
Plain Text,texts/5660.txt,5660.txt,1,1,0,0,0,9,0
Plain Text,texts/5661.txt,5661.txt,1,1,0,0,0,13,0
Plain Text,texts/5662.txt,5662.txt,1,1,0,0,0,13,0
Plain Text,texts/5663.txt,5663.txt,1,1,0,0,0,32,0
Plain Text,texts/5664.txt,5664.txt,1,1,0,0,0,1,0
Plain Text,texts/5665.txt,5665.txt,1,1,0,0,0,1,0
